hour,day_of_week,station_id,rainfall,temperature,rush_hour,crowd_level
8,4,1,45.08122570309566,29.936657314885583,0,0
17,2,9,7.917188159967559,24.38274928682093,1,2
8,0,29,17.888329799249775,25.532398920909653,0,0
15,0,34,5.828103471490182,39.800713759348994,1,2
19,2,28,8.730330225871668,30.765225661507717,0,0
9,3,21,38.69040819365398,30.005024486035566,0,0
5,6,10,27.1746619916133,20.06347310151321,0,0
21,2,43,24.316663868377162,22.573173570743236,0,0
16,4,27,12.361845587618237,36.35472879400899,1,2
12,1,19,29.197301591902242,39.02469063752375,1,2
22,6,47,30.799622048755875,36.584527696930714,0,0
15,4,28,13.40680753523732,24.627032550110563,1,2
14,4,35,3.6733643702422105,35.67510942034848,1,1
23,1,17,17.161034871020476,29.967743094313462,0,0
18,2,49,1.5050964909252618,32.403296479864,0,0
21,3,15,15.420296001833444,26.096744111397694,0,0
7,6,43,47.68937904391554,23.03788505385535,1,2
0,0,23,5.125506224398446,35.19597778424637,1,1
10,1,34,47.22760817111645,28.96482506402949,0,0
4,5,42,48.34660689539094,34.454868619136526,0,0
12,1,41,44.861431708807714,22.67382744875671,0,0
8,3,40,20.877293456009955,22.956833369447097,0,0
14,5,4,21.007493714337226,34.19652845314682,1,2
13,5,36,40.29864209740309,26.250099714799784,1,2
22,6,18,15.589609735084482,26.823819110636066,0,0
14,0,17,2.562217214759288,22.092824435787396,1,1
14,4,24,28.575523789786544,36.142219515694364,0,0
14,1,4,21.214272358270975,32.165160680005,0,0
17,4,12,9.05522484899805,24.030852934171858,0,0
4,6,6,25.93637592986698,23.37507851268221,1,1
0,6,38,28.447147745367328,20.240463725630683,1,1
21,1,8,27.407218972376167,29.009688486085007,0,0
22,6,5,2.8211090378731987,24.078382776766567,0,0
21,0,19,24.829985546796436,39.97986534697043,0,0
11,2,43,8.293710321271085,39.47741654368409,0,0
17,0,3,15.49961810628957,34.84571098385265,1,2
11,1,21,25.017541148542698,31.7986664187181,1,2
3,1,8,10.592497868077027,38.53723137542893,0,0
